,1,2,3,4,5,6+
1,13.999916,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.452641,123.547357,0.000000,0.000000,0.000000,0.000000
3,2.729130,744.910535,3337.360343,0.000000,0.000000,0.000000
4,8.617033,2352.002039,10537.477940,728.903017,0.000000,0.000000
5,11.541364,3150.192386,14113.543368,976.268173,148.454749,0.000000
6,1.955963,533.876141,2391.880605,165.452208,25.159241,94.675850
7,0.513189,140.073946,627.561578,43.409963,6.601071,24.840256
8,0.259334,70.784698,317.130762,21.936707,3.335772,12.552727
9,0.066355,18.111578,81.143786,5.612913,0.853519,3.211848
10,0.017654,4.818677,21.588714,1.493344,0.227083,0.854528
11,0.003653,0.996968,4.466630,0.308968,0.046983,0.176799
12,0.002435,0.664645,2.977754,0.205978,0.031322,0.117866
13,0.000609,0.166161,0.744438,0.051495,0.007830,0.029466
14,0.001218,0.332323,1.488877,0.102989,0.015661,0.058933
19,0.000609,0.166161,0.744438,0.051495,0.007830,0.029466
