,1,2,3,4,5,6+
1,60.000108,0.000000,0.000000,0.000000,0.000000,0.000000
2,820.454661,2141.550151,0.000000,0.000000,0.000000,0.000000
3,605.839428,1581.361629,1357.798748,0.000000,0.000000,0.000000
4,542.517116,1416.077775,1215.881678,423.521551,0.000000,0.000000
5,357.230699,932.443306,800.620383,278.875809,73.828232,0.000000
6,156.977370,409.742215,351.815458,122.545994,32.442233,19.475947
7,62.044121,161.947518,139.052404,48.435379,12.822548,7.697721
8,24.846372,64.853983,55.685338,19.396575,5.134955,3.082652
9,6.606550,17.244412,14.806506,5.157471,1.365364,0.819665
10,2.872413,7.497570,6.437611,2.242379,0.593636,0.356376
11,1.148965,2.999028,2.575045,0.896951,0.237455,0.142550
13,0.143621,0.374879,0.321881,0.112119,0.029682,0.017819
16,0.143621,0.374879,0.321881,0.112119,0.029682,0.017819
40,0.143621,0.374879,0.321881,0.112119,0.029682,0.017819
