,1,2,3,4+
1,28.000075,0.000000,0.000000,0.000000
2,572.940454,1339.064170,0.000000,0.000000
3,523.162273,1222.723670,649.112950,0.000000
4,351.754854,822.113919,436.439405,123.689611
5,145.651664,340.413953,180.717124,51.216344
6,47.874363,111.890937,59.400057,16.834341
7,16.837170,39.351474,20.890698,5.920552
8,5.680009,13.275196,7.047464,1.997295
9,2.028575,4.741141,2.516952,0.713320
10,0.811430,1.896457,1.006781,0.285328
11,0.202857,0.474114,0.251695,0.071332
19,0.202857,0.474114,0.251695,0.071332
52,0.202857,0.474114,0.251695,0.071332
