,1,2,3,4+
1,0.999993,0.000000,0.000000,0.000000
2,1.742917,47.256939,0.000000,0.000000
3,4.149963,112.520891,659.329119,0.000000
4,12.493922,338.756521,1984.982849,259.766788
5,10.631384,288.256223,1689.070536,221.041924
6,2.844340,77.120610,451.897097,59.137971
7,1.135811,30.796047,180.452986,23.615163
8,0.457212,12.396714,72.639973,9.506104
9,0.192510,5.219669,30.585252,4.002570
10,0.038502,1.043934,6.117050,0.800514
11,0.033689,0.913442,5.352419,0.700450
13,0.014438,0.391475,2.293894,0.300193
19,0.004813,0.130492,0.764631,0.100064
40,0.004813,0.130492,0.764631,0.100064
