,1,2,3,4,5,6+
1,8042.000834,0.000000,0.000000,0.000000,0.000000,0.000000
2,10397.273261,13360.728711,0.000000,0.000000,0.000000,0.000000
3,13132.509950,16875.569039,5570.923487,0.000000,0.000000,0.000000
4,3787.327353,4866.800365,1606.616784,529.255979,0.000000,0.000000
5,861.137718,1106.581230,365.302014,120.338762,72.640199,0.000000
6,87.649781,112.631929,37.181790,12.248524,7.393588,205.889811
7,10.411961,13.379603,4.416843,1.455008,0.878288,24.457753
8,5.868560,7.541231,2.489493,0.820096,0.495035,13.785279
9,1.514467,1.946124,0.642450,0.211638,0.127751,3.557491
10,1.325159,1.702859,0.562144,0.185183,0.111782,3.112805
11,0.757234,0.973062,0.321225,0.105819,0.063875,1.778746
12,0.378617,0.486531,0.160612,0.052909,0.031938,0.889373
18,0.189308,0.243266,0.080306,0.026455,0.015969,0.444686
22,0.378617,0.486531,0.160612,0.052909,0.031938,0.889373
33,0.189308,0.243266,0.080306,0.026455,0.015969,0.444686
80,0.189308,0.243266,0.080306,0.026455,0.015969,0.444686
