,1,2,3,4+
1,23.999928,0.000000,0.000000,0.000000
2,16.801732,516.198169,0.000000,0.000000
3,48.486547,1489.648020,3570.865387,0.000000
4,94.670562,2908.555544,6972.157301,1670.616681
5,91.223858,2802.662744,6718.319529,1609.793954
6,34.597107,1062.923956,2547.956506,610.522462
7,10.055597,308.937250,740.559727,177.447436
8,2.593157,79.669347,190.977003,45.760495
9,0.739741,22.726992,54.479333,13.053934
10,0.243871,7.492415,17.960220,4.303495
11,0.097548,2.996966,7.184088,1.721398
12,0.048774,1.498483,3.592044,0.860699
13,0.016258,0.499494,1.197348,0.286900
14,0.016258,0.499494,1.197348,0.286900
16,0.008129,0.249747,0.598674,0.143450
50,0.008129,0.249747,0.598674,0.143450
54,0.008129,0.249747,0.598674,0.143450
