,1,2,3,4,5,6+
1,32.999813,0.000000,0.000000,0.000000,0.000000,0.000000
2,19.907179,290.092578,0.000000,0.000000,0.000000,0.000000
3,22.298174,324.934781,1120.766886,0.000000,0.000000,0.000000
4,30.249730,440.806907,1520.433677,875.509673,0.000000,0.000000
5,44.210578,644.248012,2222.143889,1279.574703,652.823002,0.000000
6,27.057503,394.288954,1359.983689,783.117931,399.536969,283.015178
7,13.366257,194.776557,671.824403,386.855917,197.369048,139.807929
8,6.449802,93.988189,324.184594,186.674862,95.239179,67.463427
9,2.433259,35.458077,122.302198,70.425142,35.930026,25.451319
10,0.916639,13.357495,46.072746,26.530019,13.535284,9.587826
11,0.324990,4.735839,16.334883,9.406098,4.798873,3.399320
12,0.149995,2.185772,7.539177,4.341276,2.214865,1.568917
13,0.033332,0.485727,1.675373,0.964728,0.492192,0.348648
14,0.049998,0.728591,2.513059,1.447092,0.738288,0.522972
15,0.008333,0.121432,0.418843,0.241182,0.123048,0.087162
16,0.008333,0.121432,0.418843,0.241182,0.123048,0.087162
18,0.016666,0.242864,0.837686,0.482364,0.246096,0.174324
26,0.008333,0.121432,0.418843,0.241182,0.123048,0.087162
60,0.008333,0.121432,0.418843,0.241182,0.123048,0.087162
68,0.008333,0.121432,0.418843,0.241182,0.123048,0.087162
