,1,2,3,4+
1,42.999647,0.000000,0.000000,0.000000
2,9.846454,238.153461,0.000000,0.000000
3,25.747082,622.737548,1135.515246,0.000000
4,30.316725,733.262237,1337.048734,1552.372418
5,43.047591,1041.180188,1898.514038,2204.258344
6,37.943626,917.731987,1673.415497,1942.909032
7,19.834923,479.741787,874.773193,1015.650172
8,10.979750,265.564177,484.236374,562.219740
9,4.523026,109.397186,199.477569,231.602236
10,1.966894,47.572721,86.745292,100.715101
11,0.605837,14.653201,26.719014,31.021951
12,0.182581,4.416033,8.052306,9.349081
13,0.124487,3.010932,5.490208,6.374373
14,0.091290,2.208017,4.026153,4.674541
15,0.049795,1.204373,2.196083,2.549749
16,0.008299,0.200729,0.366014,0.424958
18,0.016598,0.401458,0.732028,0.849916
30,0.008299,0.200729,0.366014,0.424958
54,0.008299,0.200729,0.366014,0.424958
66,0.008299,0.200729,0.366014,0.424958
87,0.008299,0.200729,0.366014,0.424958
