,1,2,3,4+
1,163.998760,0.000000,0.000000,0.000000
2,29.592850,380.407117,0.000000,0.000000
3,87.068155,1119.234753,669.697382,0.000000
4,109.544331,1408.159187,842.576161,279.720860
5,55.726529,716.347647,428.628706,142.297392
6,22.531277,289.632742,173.302597,57.533495
7,8.215825,105.611939,63.193212,20.979065
8,2.614126,33.603799,20.106931,6.675157
9,0.871375,11.201266,6.702310,2.225052
10,0.331953,4.267149,2.553261,0.847639
11,0.124482,1.600181,0.957473,0.317865
14,0.041494,0.533394,0.319158,0.105955
