,1,2,3,4,5,6+
1,4203.622041,0.000000,0.000000,0.000000,0.000000,0.000000
2,5638.133155,7529.050958,0.000000,0.000000,0.000000,0.000000
3,6760.012498,9027.186336,1808.712817,0.000000,0.000000,0.000000
4,1295.374867,1729.817853,346.591242,99.005645,0.000000,0.000000
5,239.719167,320.116212,64.139398,18.321763,48.886420,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,315.107894
7,0.000000,0.000000,0.000000,0.000000,0.000000,83.805291
8,0.000000,0.000000,0.000000,0.000000,0.000000,26.817693
9,0.000000,0.000000,0.000000,0.000000,0.000000,16.761058
10,0.000000,0.000000,0.000000,0.000000,0.000000,10.056635
11,0.000000,0.000000,0.000000,0.000000,0.000000,3.352212
12,0.000000,0.000000,0.000000,0.000000,0.000000,3.352212
14,0.000000,0.000000,0.000000,0.000000,0.000000,6.704423
24,0.000000,0.000000,0.000000,0.000000,0.000000,3.352212
