,1,2,3,4,5,6+
1,22.999809,0.000000,0.000000,0.000000,0.000000,0.000000
2,12.528270,230.471526,0.000000,0.000000,0.000000,0.000000
3,9.199046,169.226728,1466.574234,0.000000,0.000000,0.000000
4,40.977156,753.820603,6532.856173,628.346173,0.000000,0.000000
5,58.954552,1084.534908,9398.934622,904.012647,240.563450,0.000000
6,20.310464,373.633691,3238.031902,311.441872,82.876641,33.705497
7,7.919080,145.680328,1262.513424,121.431646,32.313725,13.141823
8,2.726405,50.155261,434.661918,41.806852,11.125066,4.524506
9,0.665343,12.239724,106.073459,10.202406,2.714924,1.104146
10,0.165085,3.036924,26.318979,2.531424,0.673628,0.273961
11,0.070036,1.288392,11.165627,1.073937,0.285782,0.116226
12,0.030015,0.552168,4.785269,0.460259,0.122478,0.049811
13,0.005003,0.092028,0.797545,0.076710,0.020413,0.008302
23,0.005003,0.092028,0.797545,0.076710,0.020413,0.008302
36,0.005003,0.092028,0.797545,0.076710,0.020413,0.008302
43,0.005003,0.092028,0.797545,0.076710,0.020413,0.008302
44,0.005003,0.092028,0.797545,0.076710,0.020413,0.008302
46,0.005003,0.092028,0.797545,0.076710,0.020413,0.008302
50,0.005003,0.092028,0.797545,0.076710,0.020413,0.008302
