,1,2,3,4+
1,30.999920,0.000000,0.000000,0.000000
2,19.930045,483.069868,0.000000,0.000000
3,45.465641,1102.008602,2938.525747,0.000000
4,72.871713,1766.284441,4709.829212,1015.014705
5,66.436189,1610.298453,4293.889774,925.375648
6,28.728642,696.332655,1856.783542,400.155189
7,8.718786,211.328321,563.510766,121.442135
8,2.832401,68.652515,183.063166,39.451920
9,0.992304,24.051732,64.134375,13.821591
10,0.183046,4.436727,11.830613,2.549614
11,0.077072,1.868096,4.981311,1.073522
12,0.038536,0.934048,2.490655,0.536761
13,0.028902,0.700536,1.867991,0.402571
14,0.009634,0.233512,0.622664,0.134190
19,0.009634,0.233512,0.622664,0.134190
22,0.009634,0.233512,0.622664,0.134190
31,0.009634,0.233512,0.622664,0.134190
34,0.028902,0.700536,1.867991,0.402571
44,0.009634,0.233512,0.622664,0.134190
