,1,2,3,4,5,6+
1,7603.999058,0.000000,0.000000,0.000000,0.000000,0.000000
2,17304.582987,17462.412908,0.000000,0.000000,0.000000,0.000000
3,12964.732372,13082.979814,8946.284209,0.000000,0.000000,0.000000
4,4907.621893,4952.382843,3386.493372,1502.500718,0.000000,0.000000
5,1271.714415,1283.313341,877.543652,389.343732,479.085034,0.000000
6,71.599899,72.252941,49.407348,21.920780,26.973383,534.852665
7,19.259175,19.434832,13.289750,5.896323,7.255389,143.866418
8,4.331011,4.370512,2.988604,1.325967,1.631595,32.352735
9,1.382237,1.394844,0.953810,0.423181,0.520722,10.325341
10,0.460746,0.464948,0.317937,0.141060,0.173574,3.441780
11,0.368597,0.371959,0.254349,0.112848,0.138859,2.753424
12,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
15,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
27,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
28,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
32,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
33,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
34,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
42,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
45,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
50,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
53,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
72,0.092149,0.092990,0.063587,0.028212,0.034715,0.688356
