,1,2,3,4+
1,2.999980,0.000000,0.000000,0.000000
2,2.155393,11.844559,0.000000,0.000000
3,1.636567,8.993451,15.369933,0.000000
4,0.436069,2.396336,4.095371,34.072236
5,0.446705,2.454783,4.195258,34.903266
6,0.265896,1.461180,2.497178,20.775754
7,0.329711,1.811864,3.096500,25.761935
8,0.244624,1.344286,2.297403,19.113693
9,0.233988,1.285839,2.197516,18.282663
10,0.404161,2.220994,3.795710,31.579146
11,0.297803,1.636522,2.796839,23.268844
12,0.393526,2.162547,3.695823,30.748116
13,0.255260,1.402733,2.397290,19.944724
14,0.233988,1.285839,2.197516,18.282663
15,0.170173,0.935155,1.598194,13.296482
16,0.138266,0.759814,1.298532,10.803392
17,0.138266,0.759814,1.298532,10.803392
18,0.127630,0.701367,1.198645,9.972362
19,0.021272,0.116894,0.199774,1.662060
20,0.021272,0.116894,0.199774,1.662060
21,0.021272,0.116894,0.199774,1.662060
22,0.031907,0.175342,0.299661,2.493090
25,0.021272,0.116894,0.199774,1.662060
