,1,2,3,4,5,6+
1,48.999900,0.000000,0.000000,0.000000,0.000000,0.000000
2,20.646918,424.353034,0.000000,0.000000,0.000000,0.000000
3,64.477553,1325.197517,3626.324908,0.000000,0.000000,0.000000
4,106.471399,2188.290773,5988.128740,2040.109135,0.000000,0.000000
5,112.046878,2302.882763,6301.702968,2146.941449,488.426012,0.000000
6,47.887308,984.220702,2693.261949,917.573510,208.746620,203.309947
7,17.639202,362.535895,992.058111,337.986523,76.891435,74.888847
8,5.191344,106.696923,291.969841,99.471866,22.629703,22.040327
9,1.468355,30.178874,82.582711,28.135291,6.400737,6.234034
10,0.530502,10.903335,29.836334,10.165008,2.312524,2.252296
11,0.236831,4.867560,13.319792,4.537950,1.032377,1.005489
12,0.047366,0.973512,2.663958,0.907590,0.206475,0.201098
13,0.037893,0.778810,2.131167,0.726072,0.165180,0.160878
14,0.018947,0.389405,1.065583,0.363036,0.082590,0.080439
15,0.009473,0.194702,0.532792,0.181518,0.041295,0.040220
16,0.009473,0.194702,0.532792,0.181518,0.041295,0.040220
18,0.018947,0.389405,1.065583,0.363036,0.082590,0.080439
19,0.009473,0.194702,0.532792,0.181518,0.041295,0.040220
20,0.009473,0.194702,0.532792,0.181518,0.041295,0.040220
28,0.009473,0.194702,0.532792,0.181518,0.041295,0.040220
