,1,2,3,4,5,6+
1,2.999977,0.000000,0.000000,0.000000,0.000000,0.000000
2,2.374375,17.625564,0.000000,0.000000,0.000000,0.000000
3,1.049470,7.790471,43.160024,0.000000,0.000000,0.000000
4,1.300511,9.654010,53.484224,91.561221,0.000000,0.000000
5,1.444709,10.724427,59.414449,101.713348,112.703057,0.000000
6,1.125111,8.351971,46.270792,79.212333,87.770900,103.268921
7,1.273515,9.453611,52.373995,89.660586,99.348044,116.890282
8,1.332187,9.889143,54.786889,93.791290,103.925054,122.275471
9,0.997414,7.404048,41.019199,70.221976,77.809172,91.548215
10,0.704057,5.226387,28.954729,49.568454,54.924122,64.622270
11,0.417603,3.099965,17.174128,29.400897,32.577543,38.329876
12,0.307162,2.280139,12.632210,21.625453,23.961994,28.193049
13,0.113892,0.845445,4.683853,8.018426,8.884784,10.453602
14,0.089733,0.666108,3.690309,6.317548,7.000133,8.236172
15,0.041415,0.307435,1.703219,2.915791,3.230831,3.801310
16,0.031061,0.230576,1.277415,2.186844,2.423123,2.850982
17,0.010354,0.076859,0.425805,0.728948,0.807708,0.950327
18,0.003451,0.025620,0.141935,0.242983,0.269236,0.316776
19,0.003451,0.025620,0.141935,0.242983,0.269236,0.316776
20,0.010354,0.076859,0.425805,0.728948,0.807708,0.950327
21,0.003451,0.025620,0.141935,0.242983,0.269236,0.316776
22,0.006903,0.051239,0.283870,0.485965,0.538472,0.633552
28,0.003451,0.025620,0.141935,0.242983,0.269236,0.316776
36,0.003451,0.025620,0.141935,0.242983,0.269236,0.316776
