,1,2,3,4,5,6+
1,2580.692542,0.000000,0.000000,0.000000,0.000000,0.000000
2,11340.213804,11305.313277,0.000000,0.000000,0.000000,0.000000
3,11321.206106,11286.364078,7342.256315,0.000000,0.000000,0.000000
4,3535.502695,3524.621868,2292.915326,598.918145,0.000000,0.000000
5,533.817834,532.174962,346.202280,90.429343,160.532974,0.000000
6,0.000007,0.000007,0.000005,0.000001,0.000002,258.363662
7,0.000001,0.000001,0.000001,0.000000,0.000000,52.997674
8,0.000001,0.000001,0.000000,0.000000,0.000000,25.394719
9,0.000000,0.000000,0.000000,0.000000,0.000000,7.728827
10,0.000000,0.000000,0.000000,0.000000,0.000000,5.520591
20,0.000000,0.000000,0.000000,0.000000,0.000000,1.104118
23,0.000000,0.000000,0.000000,0.000000,0.000000,1.104118
33,0.000000,0.000000,0.000000,0.000000,0.000000,1.104118
34,0.000000,0.000000,0.000000,0.000000,0.000000,1.104118
45,0.000000,0.000000,0.000000,0.000000,0.000000,1.104118
53,0.000000,0.000000,0.000000,0.000000,0.000000,1.104118
56,0.000000,0.000000,0.000000,0.000000,0.000000,1.104118
69,0.000000,0.000000,0.000000,0.000000,0.000000,1.104118
