,1,2,3,4+
1,33.999705,0.000000,0.000000,0.000000
2,18.242119,151.757822,0.000000,0.000000
3,38.701327,321.959816,152.338881,0.000000
4,55.040551,457.887281,216.654479,104.417853
5,28.378222,236.080972,111.704348,53.836543
6,14.453094,120.236588,56.891284,27.419077
7,7.787512,64.785011,30.653751,14.773749
8,3.365789,28.000301,13.248655,6.385264
9,1.253921,10.431485,4.935773,2.378824
10,0.131992,1.098051,0.519555,0.250403
11,0.197988,1.647077,0.779333,0.375604
14,0.065996,0.549026,0.259778,0.125201
25,0.065996,0.549026,0.259778,0.125201
