,1,2,3,4+
1,7.999923,0.000000,0.000000,0.000000
2,1.190480,26.809491,0.000000,0.000000
3,0.300636,6.770281,50.929080,0.000000
4,0.080311,1.808602,13.605112,85.505986
5,0.115298,2.596508,19.532091,122.756119
6,0.138358,3.115809,23.438509,147.307343
7,0.116094,2.614415,19.666795,123.602713
8,0.116094,2.614415,19.666795,123.602713
9,0.096215,2.166741,16.299193,102.437865
10,0.057252,1.289300,9.698693,60.954762
11,0.031011,0.698371,5.253459,33.017163
12,0.023060,0.519302,3.906418,24.551224
13,0.005566,0.125349,0.942929,5.926157
14,0.003181,0.071628,0.538816,3.386376
15,0.003181,0.071628,0.538816,3.386376
16,0.001590,0.035814,0.269408,1.693188
17,0.001590,0.035814,0.269408,1.693188
18,0.002385,0.053721,0.404112,2.539782
20,0.000795,0.017907,0.134704,0.846594
