,1,2,3,4+
2,0.000000,14.999901,0.000000,0.000000
3,0.000000,10.482735,55.517219,0.000000
4,0.000000,12.963833,68.657273,71.378920
5,0.000000,19.827039,105.005240,109.167759
6,0.000000,15.336299,81.222002,84.441728
7,0.000000,11.862331,62.823648,65.314044
8,0.000000,7.117399,37.694189,39.188426
9,0.000000,3.897623,20.642056,21.460329
10,0.000000,1.948812,10.321028,10.730164
11,0.000000,0.593117,3.141182,3.265702
12,0.000000,0.254193,1.346221,1.399587
13,0.000000,0.084731,0.448740,0.466529
14,0.000000,0.169462,0.897481,0.933058
15,0.000000,0.084731,0.448740,0.466529
18,0.000000,0.084731,0.448740,0.466529
30,0.000000,0.084731,0.448740,0.466529
