,1,2,3,4+
1,5401.032932,0.000000,0.000000,0.000000
2,13542.937151,19160.151570,0.000000,0.000000
3,15646.309481,22135.941253,12152.708720,0.000000
4,6502.727323,9199.868517,5050.759806,1928.586768
5,2128.968041,3012.001746,1653.599432,631.411927
6,423.442741,599.074411,328.893935,125.585162
7,71.099391,100.589339,55.223897,21.086744
8,16.341392,23.119324,12.692589,4.846550
9,4.300366,6.084033,3.340155,1.275408
10,3.440293,4.867226,2.672124,1.020326
11,1.433455,2.028011,1.113385,0.425136
12,0.860073,1.216807,0.668031,0.255082
13,0.286691,0.405602,0.222677,0.085027
14,0.286691,0.405602,0.222677,0.085027
16,0.860073,1.216807,0.668031,0.255082
22,0.286691,0.405602,0.222677,0.085027
30,0.573382,0.811204,0.445354,0.170054
31,0.286691,0.405602,0.222677,0.085027
32,0.286691,0.405602,0.222677,0.085027
33,0.286691,0.405602,0.222677,0.085027
40,0.286691,0.405602,0.222677,0.085027
41,0.573382,0.811204,0.445354,0.170054
42,0.286691,0.405602,0.222677,0.085027
43,0.286691,0.405602,0.222677,0.085027
44,0.573382,0.811204,0.445354,0.170054
46,0.286691,0.405602,0.222677,0.085027
50,0.286691,0.405602,0.222677,0.085027
60,0.286691,0.405602,0.222677,0.085027
