,1,2,3,4+
1,5.999952,0.000000,0.000000,0.000000
2,4.865383,41.134425,0.000000,0.000000
3,1.634434,13.818334,64.547155,0.000000
4,0.293734,2.483377,11.600161,82.622748
5,0.469369,3.968282,18.536341,132.026040
6,0.569299,4.813143,22.482787,160.134810
7,0.669229,5.658003,26.429234,188.243580
8,0.711624,6.016428,28.103484,200.168512
9,0.572327,4.838744,22.602377,160.986591
10,0.514792,4.352310,20.330180,144.802754
11,0.402749,3.405042,15.905376,113.286860
12,0.208945,1.766526,8.251661,58.772882
13,0.115071,0.972869,4.544393,32.367674
14,0.051479,0.435231,2.033018,14.480275
15,0.045423,0.384027,1.793839,12.776714
16,0.021197,0.179213,0.837125,5.962466
17,0.012113,0.102407,0.478357,3.407124
18,0.003028,0.025602,0.119589,0.851781
20,0.003028,0.025602,0.119589,0.851781
22,0.003028,0.025602,0.119589,0.851781
24,0.003028,0.025602,0.119589,0.851781
