,1,2,3,4,5,6+
1,4.999984,0.000000,0.000000,0.000000,0.000000,0.000000
2,4.678432,60.321498,0.000000,0.000000,0.000000,0.000000
3,2.982463,38.454467,238.563021,0.000000,0.000000,0.000000
4,3.871453,49.916691,309.672122,246.539698,0.000000,0.000000
5,4.987677,64.308755,398.957312,317.622440,235.123815,0.000000
6,4.049229,52.208853,323.892189,257.860740,190.884500,198.104545
7,3.268560,42.143271,261.447541,208.146595,154.083009,159.911069
8,2.503662,32.281034,200.264401,159.436777,118.024983,122.489178
9,1.450941,18.707749,116.058740,92.398006,68.398730,70.985854
10,0.697871,8.998020,55.821731,44.441432,32.898302,34.142653
11,0.323308,4.168574,25.860915,20.588686,15.241021,15.817500
12,0.137997,1.779270,11.038195,8.787854,6.505314,6.751372
13,0.055199,0.711708,4.415278,3.515142,2.602126,2.700549
14,0.023657,0.305018,1.892262,1.506489,1.115197,1.157378
15,0.003943,0.050836,0.315377,0.251082,0.185866,0.192896
17,0.003943,0.050836,0.315377,0.251082,0.185866,0.192896
18,0.003943,0.050836,0.315377,0.251082,0.185866,0.192896
70,0.003943,0.050836,0.315377,0.251082,0.185866,0.192896
