,1,2,3,4,5,6+
1,15057.094735,0.000000,0.000000,0.000000,0.000000,0.000000
2,21200.083449,23174.062791,0.000000,0.000000,0.000000,0.000000
3,15021.934205,16420.654539,15299.358950,0.000000,0.000000,0.000000
4,5479.166504,5989.341925,5580.355629,3647.038835,0.000000,0.000000
5,1852.435360,2024.919075,1886.646095,1233.016681,590.932938,0.000000
6,577.040936,630.770295,587.697716,384.089570,184.077946,262.298442
7,209.853044,229.392853,213.728606,139.682231,66.943807,95.390332
8,93.609840,102.326027,95.338624,62.308514,29.861845,42.551080
9,34.499401,37.711705,35.136535,22.963466,11.005422,15.681971
10,19.996468,21.858377,20.365762,13.310035,6.378939,9.089550
11,9.229139,10.088481,9.399583,6.143093,2.944126,4.195177
12,5.713277,6.245250,5.818789,3.802867,1.822554,2.597014
13,1.977673,2.161817,2.014196,1.316377,0.630884,0.898966
14,3.296121,3.603029,3.356994,2.193962,1.051473,1.498277
15,1.318448,1.441212,1.342798,0.877585,0.420589,0.599311
16,0.439483,0.480404,0.447599,0.292528,0.140196,0.199770
17,0.439483,0.480404,0.447599,0.292528,0.140196,0.199770
18,0.659224,0.720606,0.671399,0.438792,0.210295,0.299655
20,0.219741,0.240202,0.223800,0.146264,0.070098,0.099885
22,0.659224,0.720606,0.671399,0.438792,0.210295,0.299655
26,0.219741,0.240202,0.223800,0.146264,0.070098,0.099885
