,1,2,3,4,5,6+
1,1.999996,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.949648,32.050350,0.000000,0.000000,0.000000,0.000000
3,1.944018,65.610060,264.445924,0.000000,0.000000,0.000000
4,6.625011,223.592279,901.204285,144.578431,0.000000,0.000000
5,11.213475,378.451653,1525.375801,244.713040,57.246040,0.000000
6,3.251739,109.745295,442.336070,70.963106,16.600492,29.103291
7,1.137141,38.378191,154.685977,24.815967,5.805232,10.177490
8,0.425823,14.371408,57.924962,9.292788,2.173874,3.811145
9,0.203234,6.859081,27.646004,4.435194,1.037531,1.818956
10,0.082261,2.776295,11.190049,1.795198,0.419953,0.736244
11,0.062906,2.123049,8.557097,1.372798,0.321140,0.563010
12,0.019356,0.653246,2.632953,0.422399,0.098812,0.173234
13,0.014517,0.489934,1.974715,0.316800,0.074109,0.129925
15,0.004839,0.163311,0.658238,0.105600,0.024703,0.043308
