,1,2,3,4,5,6+
1,5.999961,0.000000,0.000000,0.000000,0.000000,0.000000
2,4.512338,96.487605,0.000000,0.000000,0.000000,0.000000
3,5.349536,114.389455,713.261139,0.000000,0.000000,0.000000
4,14.514111,310.356150,1935.186950,414.943189,0.000000,0.000000
5,28.446127,608.265331,3792.762387,813.244902,219.281929,0.000000
6,6.689295,143.037618,891.893176,191.239921,51.565597,146.573869
7,3.828464,81.864297,510.454585,109.451779,29.512386,83.888189
8,1.701540,36.384132,226.868705,48.645235,13.116616,37.283640
9,0.878817,18.791804,117.173946,25.124462,6.774516,19.256385
10,0.444083,9.495859,59.210239,12.695872,3.423293,9.730620
11,0.345917,7.396774,46.121660,9.889416,2.666565,7.579641
12,0.107515,2.298997,14.335110,3.073737,0.828797,2.355834
13,0.093491,1.999128,12.465313,2.672815,0.720693,2.048552
14,0.014024,0.299869,1.869797,0.400922,0.108104,0.307283
15,0.018698,0.399826,2.493063,0.534563,0.144139,0.409710
16,0.004675,0.099956,0.623266,0.133641,0.036035,0.102428
18,0.004675,0.099956,0.623266,0.133641,0.036035,0.102428
19,0.004675,0.099956,0.623266,0.133641,0.036035,0.102428
20,0.014024,0.299869,1.869797,0.400922,0.108104,0.307283
65,0.004675,0.099956,0.623266,0.133641,0.036035,0.102428
