,1,2,3,4,5,6+
1,18.999832,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.056558,74.943442,0.000000,0.000000,0.000000,0.000000
3,0.363656,481.870424,2059.765937,0.000000,0.000000,0.000000
4,0.891773,1181.662948,5051.044776,727.400552,0.000000,0.000000
5,1.252051,1659.057157,7091.677033,1021.271839,200.741989,0.000000
6,0.391340,518.553177,2216.567186,319.207662,62.743707,68.536950
7,0.129710,171.874499,734.681403,105.801410,20.796408,22.716579
8,0.043359,57.454260,245.589522,35.367327,6.951829,7.593705
9,0.015477,20.507753,87.660849,12.624032,2.481390,2.710501
10,0.004913,6.510398,27.828841,4.007629,0.787743,0.860476
11,0.002211,2.929679,12.522978,1.803433,0.354484,0.387214
12,0.001720,2.278639,9.740094,1.402670,0.275710,0.301167
13,0.000246,0.325520,1.391442,0.200381,0.039387,0.043024
14,0.000123,0.162760,0.695721,0.100191,0.019694,0.021512
15,0.000614,0.813800,3.478605,0.500954,0.098468,0.107560
20,0.000123,0.162760,0.695721,0.100191,0.019694,0.021512
22,0.000123,0.162760,0.695721,0.100191,0.019694,0.021512
33,0.000123,0.162760,0.695721,0.100191,0.019694,0.021512
34,0.000123,0.162760,0.695721,0.100191,0.019694,0.021512
54,0.000123,0.162760,0.695721,0.100191,0.019694,0.021512
