,1,2,3,4,5,6+
1,22.999772,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.721627,103.278359,0.000000,0.000000,0.000000,0.000000
3,10.411679,624.584125,2078.004222,0.000000,0.000000,0.000000
4,21.986892,1318.967241,4388.231122,469.814825,0.000000,0.000000
5,26.116145,1566.676165,5212.363804,558.048498,44.795485,0.000000
6,7.525597,451.451504,1501.988435,160.806579,12.908213,15.319701
7,1.834145,110.028181,366.066019,39.191929,3.146002,3.733732
8,0.476038,28.556932,95.009501,10.171951,0.816520,0.969060
9,0.171514,10.288895,34.231364,3.664894,0.294187,0.349147
10,0.070006,4.199549,13.971985,1.495875,0.120076,0.142509
11,0.052504,3.149662,10.478989,1.121906,0.090057,0.106882
12,0.059505,3.569617,11.876188,1.271494,0.102065,0.121133
13,0.003500,0.209977,0.698599,0.074794,0.006004,0.007125
14,0.003500,0.209977,0.698599,0.074794,0.006004,0.007125
34,0.003500,0.209977,0.698599,0.074794,0.006004,0.007125
