,1,2,3,4+
1,10.999953,0.000000,0.000000,0.000000
2,109.976981,458.020803,0.000000,0.000000
3,53.582984,223.156892,437.260129,0.000000
4,53.195476,221.543039,434.097898,233.164370
5,47.887223,199.435772,390.780273,209.897437
6,28.404803,118.297398,231.795374,124.502843
7,13.778871,57.384821,112.441494,60.395017
8,6.324728,26.340574,51.612489,27.722303
9,2.089419,8.701797,17.050554,9.158261
10,1.185886,4.938858,9.677342,5.197932
11,0.282354,1.175918,2.304129,1.237603
12,0.056471,0.235184,0.460826,0.247521
13,0.112942,0.470367,0.921652,0.495041
15,0.056471,0.235184,0.460826,0.247521
