,1,2,3,4,5,6+
1,7.000064,0.000000,0.000000,0.000000,0.000000,0.000000
2,17.373648,181.627718,0.000000,0.000000,0.000000,0.000000
3,41.484011,433.682447,467.835581,0.000000,0.000000,0.000000
4,43.156216,451.164022,486.693856,145.985246,0.000000,0.000000
5,32.632079,341.142516,368.007994,110.385075,28.830983,0.000000
6,12.632213,132.059774,142.459677,42.731197,11.160770,9.955423
7,4.390684,45.901118,49.515899,14.852439,3.879242,3.460289
8,1.691493,17.683218,19.075797,5.721841,1.494462,1.333062
9,0.395881,4.138625,4.464548,1.339154,0.349768,0.311993
10,0.179946,1.881193,2.029340,0.608707,0.158985,0.141815
11,0.143957,1.504955,1.623472,0.486965,0.127188,0.113452
13,0.035989,0.376239,0.405868,0.121741,0.031797,0.028363
