,1,2,3,4+
1,27.999851,0.000000,0.000000,0.000000
2,15.453454,567.546403,0.000000,0.000000
3,53.246936,1955.556766,6728.196257,0.000000
4,111.711331,4102.730856,14115.662029,2543.895940
5,93.082072,3418.549285,11761.699227,2119.669545
6,26.062766,957.185938,3293.248734,593.502598
7,5.726316,210.305740,723.567997,130.399955
8,1.209484,44.419717,152.828381,27.542420
9,0.337157,12.382487,42.602602,7.677754
10,0.133792,4.913686,16.905794,3.046728
11,0.026758,0.982737,3.381159,0.609346
12,0.032110,1.179285,4.057391,0.731215
13,0.010703,0.393095,1.352464,0.243738
14,0.005352,0.196547,0.676232,0.121869
32,0.005352,0.196547,0.676232,0.121869
41,0.010703,0.393095,1.352464,0.243738
65,0.005352,0.196547,0.676232,0.121869
70,0.005352,0.196547,0.676232,0.121869
