,1,2,3,4+
1,6.999979,0.000000,0.000000,0.000000
2,0.540711,70.459288,0.000000,0.000000
3,1.043994,136.041409,1106.914598,0.000000
4,5.372422,700.073013,5696.214416,338.340156
5,8.426094,1097.992852,8933.929169,530.651898
6,1.335134,173.979569,1415.602247,84.083051
7,0.381012,49.649095,403.974850,23.995044
8,0.084492,11.010050,89.584381,5.321077
9,0.028695,3.739262,30.424884,1.807158
10,0.013551,1.765763,14.367306,0.853380
11,0.004783,0.623210,5.070814,0.301193
15,0.000797,0.103868,0.845136,0.050199
55,0.000797,0.103868,0.845136,0.050199
