,1,2,3,4,5,6+
1,19.999904,0.000000,0.000000,0.000000,0.000000,0.000000
2,5.666742,109.333222,0.000000,0.000000,0.000000,0.000000
3,3.674689,70.898853,337.426447,0.000000,0.000000,0.000000
4,6.760636,130.438624,620.792006,614.008740,0.000000,0.000000
5,14.879788,287.088245,1366.329101,1351.399505,364.303390,0.000000
6,15.098870,291.315183,1386.446221,1371.296810,369.667204,228.175752
7,12.072499,232.924865,1108.551211,1096.438301,295.572248,182.440907
8,7.347402,141.759600,674.671536,667.299540,179.887208,111.034732
9,3.595362,69.368334,330.142301,326.534904,88.025615,54.333494
10,1.748203,33.729557,160.527908,158.773852,42.801446,26.419038
11,0.973057,18.773999,89.350439,88.374125,23.823446,14.704936
12,0.490651,9.466550,45.053823,44.561529,12.012670,7.414777
13,0.276249,5.329906,25.366438,25.089264,6.763436,4.174707
14,0.210279,4.057093,19.308781,19.097798,5.148287,3.177762
15,0.127817,2.466076,11.736710,11.608466,3.129351,1.931581
16,0.057724,1.113712,5.300450,5.242533,1.413255,0.872327
17,0.070093,1.352364,6.436260,6.365933,1.716096,1.059254
18,0.057724,1.113712,5.300450,5.242533,1.413255,0.872327
19,0.008246,0.159102,0.757207,0.748933,0.201894,0.124618
20,0.004123,0.079551,0.378604,0.374467,0.100947,0.062309
21,0.020616,0.397754,1.893018,1.872333,0.504734,0.311545
22,0.004123,0.079551,0.378604,0.374467,0.100947,0.062309
23,0.012369,0.238653,1.135811,1.123400,0.302840,0.186927
25,0.020616,0.397754,1.893018,1.872333,0.504734,0.311545
26,0.004123,0.079551,0.378604,0.374467,0.100947,0.062309
33,0.004123,0.079551,0.378604,0.374467,0.100947,0.062309
35,0.004123,0.079551,0.378604,0.374467,0.100947,0.062309
51,0.004123,0.079551,0.378604,0.374467,0.100947,0.062309
60,0.004123,0.079551,0.378604,0.374467,0.100947,0.062309
66,0.004123,0.079551,0.378604,0.374467,0.100947,0.062309
71,0.004123,0.079551,0.378604,0.374467,0.100947,0.062309
