,1,2,3,4+
1,5.999987,0.000000,0.000000,0.000000
2,5.513815,125.486144,0.000000,0.000000
3,8.929042,203.211583,759.859367,0.000000
4,22.076873,502.436479,1878.736725,362.749941
5,35.661413,811.600213,3034.777906,585.960498
6,11.222011,255.396128,954.990541,184.391329
7,4.772946,108.625096,406.176631,78.425331
8,2.011342,45.775124,171.164734,33.048802
9,0.782189,17.801437,66.564063,12.852312
10,0.359168,8.174129,30.565131,5.901572
11,0.191556,4.359536,16.301403,3.147505
12,0.151649,3.451299,12.905278,2.491775
13,0.103760,2.361415,8.829927,1.704898
14,0.031926,0.726589,2.716901,0.524584
15,0.031926,0.726589,2.716901,0.524584
16,0.015963,0.363295,1.358450,0.262292
18,0.007982,0.181647,0.679225,0.131146
20,0.007982,0.181647,0.679225,0.131146
55,0.015963,0.363295,1.358450,0.262292
89,0.007982,0.181647,0.679225,0.131146
