,1,2,3,4,5,6+
1,1.999998,0.000000,0.000000,0.000000,0.000000,0.000000
2,6.820970,214.178863,0.000000,0.000000,0.000000,0.000000
3,17.884068,561.560807,1520.555107,0.000000,0.000000,0.000000
4,47.154722,1480.661115,4009.230684,464.953561,0.000000,0.000000
5,47.479354,1490.854583,4036.831845,468.154489,36.679820,0.000000
6,6.503344,204.205398,552.933104,64.124077,5.024110,8.209979
7,1.592971,50.019396,135.439024,15.706968,1.230638,2.011006
8,0.301582,9.469691,25.641369,2.973649,0.232985,0.380724
9,0.085062,2.670939,7.232181,0.838722,0.065714,0.107384
10,0.030931,0.971250,2.629884,0.304990,0.023896,0.039049
11,0.030931,0.971250,2.629884,0.304990,0.023896,0.039049
12,0.007733,0.242813,0.657471,0.076247,0.005974,0.009762
16,0.007733,0.242813,0.657471,0.076247,0.005974,0.009762
51,0.007733,0.242813,0.657471,0.076247,0.005974,0.009762
100,0.007733,0.242813,0.657471,0.076247,0.005974,0.009762
